machine_id,n_points,duration_s,duration_days,avg_interval_s,cpu_mean,cpu_std,cpu_cv,cpu_p5,cpu_p25,cpu_p50,cpu_p75,cpu_p95,cpu_p99,mem_mean,mem_std,net_in_mean,net_out_mean,disk_mean,mkpi_mean,pct_idle,pct_low,pct_mid,pct_high,burstiness,spike_count,trend_per_hour,max_gap_hours,n_long_gaps,profile
m_2877,60079,691180,8.0,104,32.89,12.77,0.388,16,23,31,41,56,71,90.84,3.88,41.33,30.0,5.61,0.53,0.0,45.4,53.4,1.2,1.81,7,0.0033,5.6,63,stable_mid
m_2878,63714,691190,8.0,98,6.8,15.0,2.207,0,0,0,0,40,60,17.81,31.79,0.22,0.17,0.89,0.0,80.6,7.3,11.6,0.6,40.0,0,0.1709,5.6,24,bursty
m_2879,59898,685210,7.93,103,49.15,11.85,0.241,32,40,48,57,70,82,91.25,3.62,49.08,41.58,8.61,0.69,0.0,2.2,92.7,5.0,1.46,6,0.0248,5.6,68,stable_mid
m_2880,61598,691190,8.0,101,33.22,13.19,0.397,17,23,31,41,58,75,90.34,4.05,41.74,30.38,5.1,0.54,0.0,45.4,53.1,1.5,1.87,9,0.007,5.5,54,stable_mid
m_2881,61540,683390,7.91,100,44.33,12.62,0.285,27,35,42,52,69,78,90.37,5.0,36.15,30.59,9.77,0.69,0.0,9.5,85.9,4.5,1.64,78,0.0538,5.7,47,stable_mid
m_2882,61731,691180,8.0,101,32.73,14.92,0.456,14,22,30,40,59,90,89.54,4.53,40.93,30.2,6.0,0.51,0.0,48.4,49.0,2.6,1.97,10,0.0441,5.5,50,stable_mid
m_2883,60632,691190,8.0,103,41.7,14.09,0.338,23,31,40,50,67,86,91.57,3.32,44.56,33.08,7.06,0.51,0.0,20.8,75.2,4.0,1.68,1,0.0814,5.7,63,stable_mid
m_2884,61490,691190,8.0,101,32.47,16.06,0.495,14,21,29,40,60,93,90.48,4.02,42.82,30.34,5.11,0.39,0.0,50.9,45.3,3.7,2.07,8,0.0605,5.6,72,stable_mid
m_2885,61280,684800,7.93,101,46.14,12.25,0.266,29,37,44,54,68,83,92.35,2.98,47.46,43.5,11.67,0.81,0.0,5.0,90.7,4.3,1.55,21,0.0482,5.4,45,stable_mid
m_2886,59694,691190,8.0,104,40.61,12.29,0.303,23,31,39,48,63,76,90.33,4.33,49.26,42.15,9.62,0.56,0.0,19.7,78.4,1.9,1.62,9,0.0046,5.5,72,stable_mid
m_2887,63038,680090,7.87,97,43.77,11.2,0.256,28,35,42,51,64,76,88.7,5.88,44.34,37.0,8.61,0.92,0.0,7.5,90.3,2.2,1.52,2,0.0146,5.7,23,stable_mid
m_2888,57871,690320,7.99,106,0.02,0.13,7.607,0,0,0,0,0,1,6.0,0.0,0.02,0.01,0.0,0.59,100.0,0.0,0.0,0.0,0.0,0,0.0003,5.8,84,bursty
m_2889,63839,691190,8.0,97,34.63,13.08,0.378,17,25,33,43,58,73,90.58,3.61,41.59,31.08,5.49,0.46,0.0,40.4,58.3,1.3,1.76,19,0.0144,6.2,22,stable_mid
m_2890,61828,689980,7.99,100,30.6,12.43,0.406,15,21,28,38,54,67,90.38,4.16,39.02,27.26,5.03,0.72,0.0,54.0,45.2,0.8,1.93,6,0.0138,6.2,52,stable_mid
m_2891,62547,691190,8.0,99,33.62,12.28,0.365,17,24,32,41,56,69,90.15,3.93,41.17,30.55,5.81,0.57,0.0,42.1,56.9,1.0,1.75,1,-0.0034,5.7,38,stable_mid
m_2892,62115,691190,8.0,100,35.4,15.52,0.438,16,24,33,43,63,92,88.61,7.12,33.67,22.11,6.25,0.31,0.1,40.3,56.3,3.3,1.91,21,0.1094,5.5,55,stable_mid
m_2893,59886,689110,7.98,104,42.87,12.98,0.303,26,33,41,50,66,85,91.75,3.36,39.63,30.18,8.26,0.66,0.0,13.0,83.3,3.7,1.61,10,0.0515,5.7,55,stable_mid
m_2894,62172,688890,7.97,100,46.98,11.68,0.249,30,38,46,55,67,78,91.0,3.79,36.06,29.59,11.44,0.39,0.0,4.5,92.4,3.1,1.46,37,0.0132,5.7,45,stable_mid
m_2895,62141,682510,7.9,99,33.0,13.01,0.394,15,23,31,41,56,71,90.4,4.38,39.73,28.23,5.36,0.63,0.0,44.9,53.9,1.2,1.81,8,-0.0102,5.7,54,stable_mid
m_2896,61641,691190,8.0,101,43.93,12.77,0.291,26,34,42,52,67,79,90.49,4.93,51.04,41.29,6.91,0.65,0.0,12.2,84.5,3.3,1.6,92,0.0133,5.7,65,stable_mid
m_2897,62409,684600,7.92,99,42.85,11.95,0.279,26,34,41,50,65,75,91.77,3.47,42.67,36.32,8.92,0.74,0.0,12.1,85.4,2.5,1.59,30,0.0129,8.2,36,stable_mid
m_2898,62916,691190,8.0,99,40.89,11.11,0.272,25,33,39,48,61,72,91.61,3.31,43.47,38.06,7.43,0.68,0.0,14.4,84.4,1.3,1.56,9,0.0061,8.6,27,stable_mid
m_2899,60878,691190,8.0,102,42.86,11.85,0.276,26,34,42,51,64,74,91.85,3.24,43.04,36.71,10.44,0.62,0.0,13.3,84.8,1.9,1.52,2,0.0095,7.8,47,stable_mid
m_2900,64112,684600,7.92,96,39.79,13.21,0.332,22,30,38,48,64,79,90.83,3.69,47.63,38.42,7.45,0.51,0.0,23.8,73.7,2.6,1.68,86,-0.0159,5.4,18,stable_mid
m_2901,60704,686110,7.94,102,43.38,16.91,0.39,22,31,40,52,78,95,88.84,5.91,45.35,35.19,8.47,0.33,0.0,20.6,71.7,7.8,1.95,96,0.0632,5.5,57,stable_mid
m_2902,63408,683870,7.92,97,32.4,12.94,0.399,15,23,31,40,56,72,90.4,3.67,41.06,30.46,5.32,0.75,0.0,46.7,52.1,1.2,1.81,7,-0.0098,5.5,27,stable_mid
m_2903,60322,691180,8.0,103,48.93,11.71,0.239,32,40,48,56,71,81,90.44,4.35,47.98,38.53,9.29,0.53,0.0,1.9,92.8,5.3,1.48,0,0.0461,5.6,54,stable_mid
m_2904,59976,691190,8.0,104,39.01,12.55,0.322,21,30,37,47,61,76,91.2,4.04,42.57,35.15,8.51,0.6,0.0,23.7,74.3,2.0,1.65,42,0.0174,5.6,81,stable_mid
m_2905,60954,691190,8.0,102,44.81,11.92,0.266,28,36,43,53,66,77,90.74,3.97,45.98,38.05,11.77,0.67,0.0,8.2,88.8,2.9,1.53,40,0.0137,5.6,64,stable_mid
m_2906,60776,685210,7.93,101,45.23,11.92,0.264,28,36,44,53,67,76,91.12,4.24,46.29,38.21,9.59,0.78,0.0,7.1,89.5,3.4,1.52,3,0.0292,5.5,61,stable_mid
m_2907,63189,691190,8.0,98,44.27,12.8,0.289,26,35,43,52,66,86,91.98,3.55,43.0,36.68,9.65,0.68,0.0,10.7,85.9,3.4,1.53,61,0.0675,5.5,27,stable_mid
m_2908,60999,691190,8.0,102,53.02,8.72,0.164,39,47,53,59,67,72,90.99,3.6,47.46,42.11,14.41,0.68,0.0,0.1,97.6,2.4,1.26,0,0.0108,5.6,72,stable_high
m_2909,60584,691190,8.0,103,29.35,12.34,0.42,12,20,28,37,51,66,90.4,3.82,40.09,29.2,9.29,0.39,0.0,55.6,43.8,0.6,1.82,20,-0.0158,5.6,57,stable_mid
m_2910,61084,691190,8.0,102,36.77,14.44,0.393,19,26,34,45,62,88,87.09,6.15,45.51,33.41,10.53,0.54,0.0,36.2,60.8,3.0,1.82,36,0.0292,5.7,71,stable_mid
m_2911,62602,681290,7.89,98,32.1,12.44,0.387,16,23,30,39,55,69,89.38,4.79,40.21,29.29,5.57,0.69,0.0,48.6,50.4,1.0,1.83,7,0.0062,5.6,36,stable_mid
m_2912,61417,691190,8.0,101,45.7,13.04,0.285,27,36,44,55,69,78,91.19,3.87,47.54,41.52,9.96,0.71,0.0,9.6,85.8,4.6,1.57,129,0.0503,5.6,43,stable_mid
m_2913,62587,691070,8.0,99,42.73,11.93,0.279,26,34,41,51,64,76,86.04,7.19,39.45,30.71,8.24,0.83,0.0,13.0,85.0,2.0,1.56,0,0.0186,6.8,45,stable_mid
m_2914,61931,691190,8.0,100,30.82,13.12,0.426,13,21,29,39,55,69,88.92,5.92,35.1,24.16,5.06,0.52,0.0,51.7,47.3,1.0,1.9,11,0.0077,5.7,54,stable_mid
m_2915,61473,681000,7.88,100,45.53,11.75,0.258,29,37,44,53,67,77,91.29,3.65,38.39,30.19,7.5,0.47,0.0,5.5,91.0,3.6,1.52,0,0.0213,5.8,45,stable_mid
m_2916,60951,691190,8.0,102,48.02,10.61,0.221,32,40,47,55,66,74,91.1,4.19,22.53,19.98,7.65,0.47,0.0,2.7,94.8,2.5,1.4,20,-0.0082,5.6,71,stable_mid
m_2917,63072,691190,8.0,99,45.24,11.74,0.26,28,36,44,53,67,75,91.29,3.82,53.96,43.88,7.5,0.78,0.0,6.8,90.3,2.9,1.52,23,0.0105,5.7,36,stable_mid
m_2918,61913,691190,8.0,100,36.01,14.44,0.401,18,26,33,43,62,89,89.14,4.57,40.39,30.31,9.69,0.44,0.0,36.7,60.1,3.2,1.88,25,0.0351,5.6,36,stable_mid
m_2919,62299,686110,7.94,99,44.89,14.59,0.325,23,34,44,54,71,84,89.96,5.21,39.75,30.94,57.08,0.85,0.0,16.0,78.3,5.7,1.61,13,0.0447,5.5,36,stable_mid
m_2920,61066,691190,8.0,102,46.95,11.19,0.238,31,38,46,55,67,75,90.67,4.12,41.28,33.34,8.56,0.82,0.0,3.4,93.8,2.9,1.46,1,0.006,5.8,48,stable_mid
m_2921,62305,684610,7.92,99,43.8,15.4,0.352,23,33,41,52,76,89,90.74,4.28,51.88,42.17,7.39,0.47,0.0,15.9,77.0,7.1,1.85,281,0.0489,5.5,36,stable_mid
m_2922,61758,689990,7.99,101,33.82,14.76,0.436,16,24,31,40,61,91,89.34,4.72,43.84,32.52,9.64,0.5,0.0,45.2,51.6,3.1,1.97,37,0.0211,5.6,46,stable_mid
m_2923,60854,691180,8.0,102,43.68,11.91,0.273,25,35,43,52,64,72,90.25,4.1,62.31,36.45,4.4,0.21,0.0,12.0,86.4,1.6,1.49,5,0.0088,5.7,64,stable_mid
m_2924,61422,682770,7.9,100,40.33,12.81,0.318,24,31,38,48,63,83,91.14,4.03,40.28,31.86,7.52,0.68,0.0,20.8,76.4,2.8,1.66,135,0.0133,5.5,63,stable_mid
m_2925,61963,691190,8.0,100,42.08,11.62,0.276,26,33,41,49,63,76,91.1,3.74,41.63,34.68,9.35,0.83,0.0,13.4,84.7,2.0,1.54,30,0.0248,5.6,59,stable_mid
m_2926,62739,682690,7.9,98,49.71,10.69,0.215,33,42,49,58,67,74,90.65,4.04,45.6,40.66,8.76,0.88,0.0,2.0,95.0,3.0,1.37,35,-0.0465,5.8,46,stable_mid
m_2927,60792,691180,8.0,102,40.85,15.66,0.383,22,29,38,49,72,89,91.92,3.19,39.66,30.27,6.09,0.53,0.0,25.1,69.3,5.5,1.89,20,0.1162,5.6,68,stable_mid
m_2928,60344,691190,8.0,103,40.16,14.3,0.356,22,29,37,48,68,82,91.68,3.35,45.83,36.38,6.85,0.6,0.0,25.6,69.8,4.6,1.84,114,0.0345,6.2,57,stable_mid
m_2929,61918,680460,7.88,99,19.02,15.02,0.79,3,5,16,28,48,61,83.57,9.01,19.63,13.48,3.1,0.6,18.3,58.3,22.9,0.4,3.0,34,0.0027,5.6,45,bursty
m_2930,61384,682780,7.9,100,43.96,13.38,0.304,24,34,43,53,68,78,89.27,5.2,45.67,39.32,11.94,0.61,0.0,13.7,82.0,4.2,1.58,58,0.0071,5.5,46,stable_mid
m_2931,62849,688890,7.97,99,35.67,14.85,0.416,18,25,33,43,62,91,91.32,3.69,50.77,38.4,5.63,0.35,0.0,39.6,56.9,3.5,1.88,189,0.0236,7.0,45,stable_mid
m_2932,61712,681000,7.88,99,36.26,14.2,0.392,16,26,34,45,63,77,87.45,8.02,37.43,25.95,7.3,0.51,0.0,35.1,62.6,2.3,1.85,36,0.053,5.9,27,stable_mid
m_2933,60169,688780,7.97,103,46.55,10.52,0.226,31,39,46,54,65,74,91.35,3.31,48.85,44.57,8.52,0.88,0.0,3.6,94.5,1.9,1.41,0,0.0432,5.6,64,stable_mid
m_2934,60483,685200,7.93,102,44.3,14.61,0.33,25,33,42,53,71,89,91.95,2.99,43.8,37.57,11.22,0.58,0.0,14.7,79.5,5.8,1.69,244,0.0433,6.2,63,stable_mid
m_2935,60201,685810,7.94,103,44.8,15.19,0.339,25,34,42,53,77,87,91.38,4.21,44.89,38.83,9.64,0.73,0.0,14.2,78.3,7.5,1.83,166,0.0877,5.6,50,stable_mid
m_2936,63364,690120,7.99,98,42.43,12.31,0.29,25,33,41,50,65,76,91.95,3.17,44.17,38.8,8.55,0.65,0.0,14.7,82.7,2.6,1.59,1,-0.0011,5.4,46,stable_mid
m_2937,63792,691190,8.0,98,34.49,14.63,0.424,15,24,32,42,62,82,88.57,8.54,36.69,27.77,5.49,0.43,0.0,41.5,56.0,2.5,1.94,216,0.0118,5.6,22,stable_mid
m_2938,61989,691190,8.0,100,40.74,12.41,0.305,23,32,39,49,63,76,90.12,4.25,50.68,40.74,7.68,0.72,0.0,18.9,79.2,1.9,1.62,4,-0.0153,6.9,36,stable_mid
m_2939,60795,691190,8.0,102,46.49,11.38,0.245,30,38,45,54,67,77,89.37,4.62,48.43,43.86,8.32,0.75,0.0,4.3,92.7,3.1,1.49,27,-0.0047,7.2,39,stable_mid
m_2940,63265,691180,8.0,98,38.3,16.18,0.422,19,27,35,46,71,91,90.83,4.24,43.81,33.4,6.81,0.66,0.0,33.4,61.4,5.2,2.03,69,0.0759,5.7,36,stable_mid
m_2941,61969,683860,7.92,99,37.13,13.14,0.354,19,27,35,45,61,77,91.36,3.88,42.9,33.47,7.44,0.63,0.0,32.1,66.0,1.9,1.74,8,-0.0009,5.6,45,stable_mid
m_2942,62246,691180,8.0,100,33.53,12.02,0.359,17,24,32,41,56,69,90.41,3.89,41.81,30.93,4.99,0.43,0.0,42.3,56.7,0.9,1.75,4,0.0136,5.6,54,stable_mid
m_2943,60368,691190,8.0,103,34.47,15.44,0.448,16,24,32,42,63,92,90.24,4.05,41.2,30.52,5.76,0.4,0.0,43.2,53.3,3.6,1.97,26,0.0656,5.6,91,stable_mid
m_2944,62161,691190,8.0,100,30.38,13.17,0.433,13,21,28,38,55,72,83.0,14.91,40.03,29.58,5.69,0.52,0.0,54.4,44.3,1.2,1.96,28,-0.009,5.6,49,stable_mid
m_2945,61901,687770,7.96,100,31.29,12.05,0.385,15,22,30,39,53,68,89.39,5.04,40.4,26.49,5.15,0.44,0.0,49.3,49.9,0.8,1.77,8,0.0063,5.6,45,stable_mid
m_2946,60508,691190,8.0,103,48.06,11.09,0.231,32,40,47,56,67,77,91.44,3.52,47.14,39.61,12.8,0.6,0.0,2.8,94.0,3.2,1.43,21,0.0292,5.7,54,stable_mid
m_2947,62044,691190,8.0,100,42.31,11.88,0.281,26,33,41,50,63,76,91.53,3.26,44.57,35.72,8.54,0.48,0.0,13.9,84.1,1.9,1.54,2,0.0204,5.4,39,stable_mid
m_2948,61250,691070,8.0,102,42.13,12.47,0.296,24,33,41,50,65,76,91.69,3.32,50.75,40.31,6.96,0.61,0.0,16.0,81.4,2.6,1.59,43,0.0116,5.6,81,stable_mid
m_2949,61823,684610,7.92,100,40.13,12.86,0.321,23,30,38,48,64,78,91.07,4.03,42.98,33.73,6.36,0.46,0.0,23.0,74.6,2.4,1.68,97,0.0052,5.6,51,stable_mid
m_2950,62422,691190,8.0,100,39.62,17.26,0.436,20,27,35,48,81,93,91.45,3.15,44.2,33.53,7.38,0.55,0.0,32.3,61.1,6.6,2.31,322,0.0606,5.5,45,stable_mid
m_2951,60330,691180,8.0,103,30.2,12.2,0.404,14,21,28,37,53,67,90.61,3.8,44.09,31.51,4.92,0.52,0.0,54.2,45.0,0.8,1.89,4,0.013,5.5,56,stable_mid
m_2952,60633,688500,7.97,102,36.53,14.37,0.394,19,26,34,44,61,91,87.68,13.77,35.5,28.32,5.72,0.58,0.0,36.4,60.7,2.9,1.79,12,0.0624,5.5,63,stable_mid
m_2953,61248,689990,7.99,101,39.97,11.68,0.292,24,31,38,47,61,75,86.78,6.57,41.79,33.75,7.47,0.57,0.0,19.0,79.4,1.6,1.61,44,0.0235,8.9,58,stable_mid
m_2954,62708,691190,8.0,99,43.72,10.51,0.241,29,36,43,51,62,73,91.2,3.76,44.89,37.0,7.86,0.78,0.0,6.6,91.8,1.6,1.44,1,0.0206,5.7,45,stable_mid
m_2955,61777,691180,8.0,101,40.66,11.55,0.284,24,32,39,48,61,72,90.39,4.69,50.91,40.51,7.03,0.75,0.0,17.0,81.6,1.4,1.56,3,0.0026,5.6,72,stable_mid
m_2956,62404,687470,7.96,99,42.3,12.05,0.285,25,33,41,50,64,76,91.21,3.59,43.44,35.1,7.49,0.8,0.0,13.7,84.1,2.1,1.56,0,0.0327,5.5,32,stable_mid
m_2957,59241,678600,7.85,103,41.56,17.09,0.411,21,29,38,49,81,94,91.54,3.46,41.71,32.43,6.07,0.57,0.0,25.8,67.2,7.0,2.13,266,0.0441,5.6,55,stable_mid
m_2958,61183,689980,7.99,101,7.51,16.14,2.149,0,0,0,0,44,63,17.87,31.32,0.23,0.17,0.83,0.0,79.7,6.2,13.4,0.7,44.0,0,0.1953,5.5,46,bursty
m_2959,60638,691190,8.0,103,39.09,12.19,0.312,23,30,37,46,62,75,91.41,4.06,43.45,37.52,26.68,0.6,0.0,23.1,74.9,2.0,1.68,30,0.0034,5.7,90,stable_mid
m_2960,60044,689930,7.99,103,35.65,12.61,0.354,19,26,33,43,59,74,90.11,4.89,42.18,31.18,7.05,0.61,0.0,36.4,62.2,1.4,1.79,23,0.0095,5.6,82,stable_mid
m_2961,62904,690310,7.99,99,41.41,11.97,0.289,26,33,40,48,63,82,90.85,3.79,44.29,37.89,9.66,0.48,0.0,14.0,83.0,3.0,1.58,44,0.0364,5.7,38,stable_mid
m_2962,56855,691190,8.0,109,10.1,21.86,2.163,0,0,0,0,57,87,19.15,32.72,0.29,0.24,0.9,0.0,79.5,1.8,14.7,4.0,57.0,1,0.2842,13.8,54,bursty
m_2963,62362,689990,7.99,100,41.89,12.81,0.306,24,32,40,50,65,80,91.46,3.34,37.95,29.92,7.09,0.72,0.0,16.4,80.7,2.9,1.62,58,0.0208,5.5,48,stable_mid
m_2964,59600,669070,7.74,101,7.94,16.94,2.134,0,0,0,0,46,69,17.83,32.48,0.23,0.19,0.71,0.0,79.3,6.3,13.4,1.0,46.0,52,0.2128,5.9,53,bursty
m_2965,61231,691190,8.0,102,41.9,13.86,0.331,22,31,40,51,67,80,88.86,4.74,49.2,40.71,8.79,0.73,0.0,20.2,76.2,3.7,1.68,65,0.0017,5.6,54,stable_mid
m_2966,63384,691190,8.0,98,41.6,15.57,0.374,22,30,38,51,71,90,88.95,5.06,47.76,35.74,8.1,0.47,0.0,23.3,71.2,5.5,1.87,149,0.0529,5.7,35,stable_mid
m_2967,64788,691180,8.0,96,39.95,12.33,0.309,23,31,38,47,63,76,91.81,2.93,49.59,40.08,5.92,0.92,0.0,21.1,76.8,2.1,1.66,56,-0.0153,5.4,18,stable_mid
m_2968,60741,689990,7.99,102,39.82,15.48,0.389,22,29,37,46,69,93,91.25,3.81,20.87,15.71,7.06,0.69,0.0,26.3,68.7,5.0,1.86,8,0.0844,5.6,74,stable_mid
m_2969,61249,691190,8.0,102,33.77,15.37,0.455,15,23,31,42,60,94,88.9,5.05,40.86,29.96,5.25,0.4,0.0,45.6,51.5,2.9,1.94,38,0.0484,6.7,56,stable_mid
m_2970,61391,689950,7.99,101,7.92,16.93,2.138,0,0,0,0,47,63,18.23,31.95,0.25,0.2,0.93,0.0,79.9,4.7,14.7,0.7,47.0,1,0.2061,5.6,55,bursty
m_2971,61481,691180,8.0,101,39.72,15.91,0.401,20,28,37,48,71,91,91.75,3.33,44.98,36.13,6.86,0.53,0.0,28.5,66.2,5.3,1.92,6,0.0725,5.6,62,stable_mid
m_2972,61090,688780,7.97,101,51.83,12.19,0.235,32,43,51,61,72,75,91.92,3.22,41.33,32.39,6.14,0.29,0.0,3.2,88.0,8.8,1.41,2,-0.0118,7.0,54,stable_high
m_2973,61088,689930,7.99,102,34.69,12.21,0.352,19,25,33,42,57,71,89.65,4.24,43.53,32.82,8.69,0.43,0.0,39.5,59.3,1.1,1.73,9,0.0127,5.5,71,stable_mid
m_2974,62248,687200,7.95,99,44.18,12.04,0.273,28,35,42,52,66,77,91.76,3.22,43.69,36.64,8.0,0.61,0.0,8.6,88.4,3.0,1.57,51,-0.0035,5.6,36,stable_mid
m_2975,61510,689020,7.97,101,29.31,11.94,0.407,13,20,28,36,51,64,87.87,6.56,37.67,26.37,9.16,0.48,0.0,55.4,44.0,0.6,1.82,3,-0.0285,6.7,54,stable_mid
m_2976,61495,691190,8.0,101,29.06,13.33,0.458,11,19,27,37,54,69,90.0,4.13,39.75,29.26,5.36,0.37,0.1,57.8,41.2,1.0,2.0,17,-0.0299,5.6,59,stable_mid
m_2977,62274,691190,8.0,100,34.4,12.37,0.36,17,25,33,42,56,70,90.58,3.72,40.47,30.43,3.32,0.41,0.0,39.2,59.7,1.0,1.7,4,0.022,5.5,63,stable_mid
m_2978,63173,691190,8.0,98,37.16,13.9,0.374,19,27,35,45,63,79,90.62,3.69,46.82,33.89,5.74,0.61,0.0,33.2,64.5,2.3,1.8,204,0.0081,5.6,45,stable_mid
m_2979,63462,691190,8.0,98,35.03,12.41,0.354,19,26,33,42,58,75,90.26,4.41,44.68,33.8,6.11,0.6,0.0,38.0,60.5,1.5,1.76,18,0.0326,6.0,27,stable_mid
m_2980,61296,689410,7.98,101,38.65,13.33,0.345,20,29,37,47,62,78,88.29,7.48,36.52,25.72,7.62,0.71,0.0,26.8,71.1,2.1,1.68,60,0.0673,5.6,63,stable_mid
m_2981,63361,681000,7.88,97,46.18,13.46,0.291,28,36,44,54,72,86,91.66,3.2,41.11,32.17,7.49,0.62,0.0,6.9,87.4,5.7,1.64,1,0.0534,5.9,18,stable_mid
m_2982,61373,685110,7.93,100,38.21,13.13,0.344,20,28,36,47,62,76,91.17,3.8,33.25,25.77,8.58,0.48,0.0,29.1,69.1,1.8,1.72,64,0.0462,5.7,46,stable_mid
m_2983,62529,691190,8.0,99,40.32,11.65,0.289,24,32,39,48,61,74,91.48,3.4,51.18,42.83,6.88,0.63,0.0,18.8,79.8,1.5,1.56,1,-0.0054,5.6,42,stable_mid
m_2984,62817,691190,8.0,99,3.75,0.73,0.195,3,3,4,4,5,6,88.9,0.42,21.7,17.16,1.03,0.01,87.6,12.4,0.0,0.0,1.25,0,0.0027,5.6,36,idle_pure
m_2985,60432,688440,7.97,103,38.72,14.15,0.365,18,28,38,48,64,75,90.56,4.72,45.94,33.79,6.44,0.51,0.0,29.3,68.3,2.4,1.68,8,-0.0414,5.5,73,stable_mid
m_2986,60468,689420,7.98,103,31.54,13.07,0.414,14,22,30,39,56,71,90.21,4.14,43.24,32.91,6.54,0.48,0.0,49.6,49.3,1.1,1.87,3,-0.0303,6.7,79,stable_mid
m_2987,61999,691190,8.0,100,29.29,12.86,0.439,12,19,27,37,53,67,85.61,9.16,39.26,27.7,4.16,0.46,0.0,56.3,42.9,0.8,1.96,4,0.0269,5.5,45,stable_mid
m_2988,61419,691190,8.0,101,41.19,12.14,0.295,24,32,40,49,63,75,91.91,2.98,51.12,38.06,7.66,0.67,0.0,17.3,80.8,1.9,1.58,3,0.0159,5.7,45,stable_mid
m_2989,61042,691190,8.0,102,32.44,11.86,0.366,17,24,30,39,54,69,90.3,3.98,40.26,28.42,5.55,0.57,0.0,47.1,52.0,0.9,1.8,2,0.0024,5.4,54,stable_mid
m_2990,61487,687910,7.96,101,38.68,10.9,0.282,23,31,37,46,58,69,92.07,3.21,38.81,33.07,8.12,0.46,0.0,21.0,78.1,0.9,1.57,6,-0.0111,6.3,54,stable_mid
m_2991,62442,691190,8.0,100,38.0,12.17,0.32,22,29,36,45,61,77,90.45,4.45,34.61,23.49,6.54,0.21,0.0,26.9,71.3,1.8,1.69,41,0.0143,5.6,45,stable_mid
m_2992,60588,691190,8.0,103,17.95,4.92,0.274,10,13,19,22,25,27,86.52,3.01,18.85,23.89,3.06,1.0,0.0,99.8,0.2,0.0,1.32,0,-0.0159,5.5,75,stable_mid
m_2993,58968,691190,8.0,105,41.52,11.84,0.285,25,32,40,49,63,74,91.84,3.8,45.68,39.01,12.33,0.0,0.0,15.7,82.6,1.7,1.58,3,0.0358,6.2,73,stable_mid
m_2994,59566,691190,8.0,104,39.65,13.24,0.334,22,30,37,48,64,80,90.22,5.51,40.99,29.52,5.93,0.4,0.0,23.6,73.4,3.0,1.73,81,-0.0127,5.6,55,stable_mid
m_2995,61503,690510,7.99,101,43.12,12.37,0.287,26,34,42,51,66,79,90.91,4.38,45.09,37.45,7.94,0.57,0.0,12.6,84.3,3.1,1.57,104,0.0048,5.5,54,stable_mid
m_2996,60718,691180,8.0,102,37.99,12.14,0.319,21,29,36,45,60,76,92.11,3.12,41.53,33.85,9.22,0.6,0.0,26.4,72.1,1.6,1.67,71,0.0184,6.5,45,stable_mid
m_2997,29271,691190,8.0,213,25.38,16.25,0.64,0,16,25,36,52,65,64.3,29.11,16.82,10.91,4.1,1.0,17.7,43.6,38.2,0.6,2.08,1,-0.1893,89.6,70,idle_pure
m_2998,62594,687910,7.96,99,35.88,12.36,0.345,19,27,34,43,58,76,91.3,3.67,47.54,38.25,5.69,0.62,0.0,34.3,64.1,1.6,1.71,110,0.0281,5.5,45,stable_mid
m_2999,61927,691190,8.0,100,42.3,11.71,0.277,26,34,41,50,63,75,90.87,4.29,43.91,35.31,9.33,0.67,0.0,12.6,85.3,2.1,1.54,7,0.016,5.5,45,stable_mid
m_3000,63852,691190,8.0,97,41.16,14.55,0.354,22,30,39,50,67,90,91.0,3.8,46.91,38.64,8.85,0.51,0.0,22.5,73.3,4.1,1.72,78,0.0414,5.6,27,stable_mid
m_3001,59530,679810,7.87,103,34.38,12.87,0.374,17,25,33,42,58,70,90.82,3.58,40.31,29.65,10.93,0.44,0.0,39.6,59.3,1.1,1.76,3,0.0029,6.1,72,stable_mid
m_3002,60334,691190,8.0,103,33.2,13.38,0.403,15,23,31,42,57,72,90.58,3.91,39.92,28.65,3.07,0.45,0.0,44.8,53.9,1.3,1.84,7,0.0144,5.7,73,stable_mid
m_3003,62790,690010,7.99,99,32.67,12.82,0.392,16,23,31,40,56,71,90.38,3.93,40.93,30.53,5.23,0.53,0.0,46.3,52.5,1.1,1.81,4,0.0016,7.2,37,stable_mid
m_3004,61844,691190,8.0,101,41.6,12.73,0.306,24,32,40,50,64,77,88.63,6.68,49.37,39.9,8.28,0.83,0.0,18.3,79.0,2.7,1.6,16,-0.005,5.6,54,stable_mid
m_3005,60872,691180,8.0,102,37.9,11.7,0.309,22,29,36,45,59,72,91.02,3.95,45.4,36.11,6.39,0.52,0.0,25.8,73.0,1.3,1.64,5,-0.0191,5.7,63,stable_mid
m_3006,59915,687840,7.96,103,3.12,0.61,0.194,2,3,3,3,4,5,84.13,0.7,21.57,16.7,1.03,0.04,98.0,2.0,0.0,0.0,1.33,0,-0.0015,5.7,63,idle_pure
m_3007,61930,691190,8.0,100,31.93,13.04,0.408,15,22,30,40,56,72,91.05,3.3,40.06,30.04,5.16,0.57,0.0,49.2,49.6,1.2,1.87,14,-0.0039,5.5,66,stable_mid
m_3008,61762,691190,8.0,101,47.78,11.51,0.241,30,39,47,56,67,77,91.37,3.6,43.37,36.54,10.87,0.72,0.0,3.8,92.9,3.3,1.43,27,0.031,5.7,44,stable_mid
